Audiofile,start,end,class
test.wav,97.25,97.37,foreground
test.wav,97.37,97.38,background
test.wav,97.38,97.42,foreground
test.wav,97.42,97.43,background
test.wav,97.43,97.46,foreground
test.wav,97.46,97.47,background
test.wav,97.47,97.5,foreground
test.wav,97.5,97.69,background
test.wav,97.69,97.71,foreground
test.wav,97.71,97.74,background
test.wav,97.74,97.75,foreground
test.wav,97.75,98.08,background
test.wav,98.08,98.13,foreground
test.wav,98.13,98.14,background
test.wav,98.14,98.16,foreground
test.wav,98.16,98.17,background
test.wav,98.17,98.35,foreground
test.wav,98.35,98.36,background
test.wav,98.36,98.5,foreground
test.wav,98.5,98.51,background
test.wav,98.51,98.56,foreground
test.wav,98.56,98.57,background
test.wav,98.57,98.6,foreground
test.wav,98.6,98.62,background
test.wav,98.62,98.67,foreground
test.wav,98.67,98.69,background
test.wav,98.69,98.7,foreground
test.wav,98.7,98.73,background
test.wav,98.73,98.74,foreground
test.wav,98.74,98.79,background
test.wav,98.79,98.8,foreground
test.wav,98.8,98.83,background
test.wav,98.83,98.84,foreground
test.wav,98.84,98.85,background
test.wav,98.85,98.86,foreground
test.wav,98.86,98.87,background
test.wav,98.87,98.99,foreground
test.wav,98.99,99.0,background
test.wav,99.0,99.12,foreground
test.wav,99.12,99.13,background
test.wav,99.13,99.23,foreground
test.wav,99.23,99.24,background
test.wav,99.24,99.75,foreground
test.wav,99.75,99.92,background
test.wav,99.92,99.93,foreground
test.wav,99.93,99.96,background
test.wav,99.96,99.99,foreground
test.wav,99.99,100.01,background
test.wav,100.01,100.02,foreground
test.wav,100.02,100.03,background
test.wav,100.03,100.04,foreground
test.wav,100.04,100.05,background
test.wav,100.05,100.12,foreground
test.wav,100.12,100.15,background
test.wav,100.15,100.19,foreground
test.wav,100.19,100.2,background
test.wav,100.2,100.88,foreground
test.wav,100.88,101.04,background
test.wav,101.04,101.05,foreground
test.wav,101.05,101.07,background
test.wav,101.07,101.08,foreground
test.wav,101.08,101.11,background
test.wav,101.11,101.13,foreground
test.wav,101.13,101.14,background
test.wav,101.14,101.32,foreground
test.wav,101.32,101.33,background
test.wav,101.33,101.43,foreground
test.wav,101.43,101.45,background
test.wav,101.45,101.46,foreground
test.wav,101.46,101.47,background
test.wav,101.47,101.62,foreground
test.wav,101.62,101.63,background
test.wav,101.63,103.06,foreground
test.wav,103.06,103.07,background
test.wav,103.07,103.08,foreground
test.wav,103.08,103.09,background
test.wav,103.09,104.49,foreground
test.wav,104.49,104.62,background
test.wav,104.62,104.65,foreground
test.wav,104.65,104.66,background
test.wav,104.66,104.68,foreground
test.wav,104.68,104.69,background
test.wav,104.69,104.76,foreground
test.wav,104.76,104.77,background
test.wav,104.77,106.98,foreground
test.wav,106.98,106.99,background
test.wav,106.99,107.0,foreground
test.wav,107.0,107.01,background
test.wav,107.01,107.02,foreground
test.wav,107.02,107.12,background
test.wav,107.12,107.13,foreground
test.wav,107.13,107.14,background
test.wav,107.14,107.22,foreground
test.wav,107.22,107.23,background
test.wav,107.23,107.27,foreground
test.wav,107.27,107.36,background
test.wav,107.36,107.37,foreground
test.wav,107.37,107.38,background
test.wav,107.38,107.55,foreground
test.wav,107.55,107.56,background
test.wav,107.56,107.81,foreground
test.wav,107.81,107.83,background
test.wav,107.83,107.87,foreground
test.wav,107.87,107.88,background
test.wav,107.88,107.91,foreground
test.wav,107.91,107.92,background
test.wav,107.92,108.33,foreground
test.wav,108.33,108.34,background
test.wav,108.34,108.35,foreground
test.wav,108.35,108.36,background
test.wav,108.36,108.37,foreground
test.wav,108.37,108.38,background
test.wav,108.38,108.82,foreground
test.wav,108.82,108.84,background
test.wav,108.84,109.93,foreground
test.wav,109.93,109.94,background
test.wav,109.94,110.13,foreground
test.wav,110.13,110.14,background
test.wav,110.14,110.16,foreground
test.wav,110.16,110.26,background
test.wav,110.26,110.27,foreground
test.wav,110.27,110.29,background
test.wav,110.29,110.33,foreground
test.wav,110.33,110.34,background
test.wav,110.34,111.27,foreground
test.wav,111.27,111.28,background
test.wav,111.28,111.29,foreground
test.wav,111.29,111.37,background
test.wav,111.37,111.38,foreground
test.wav,111.38,111.42,background
test.wav,111.42,111.43,foreground
test.wav,111.43,111.44,background
test.wav,111.44,111.61,foreground
test.wav,111.61,111.62,background
test.wav,111.62,111.64,foreground
test.wav,111.64,111.65,background
test.wav,111.65,111.87,foreground
test.wav,111.87,111.88,background
test.wav,111.88,111.89,foreground
test.wav,111.89,111.93,background
test.wav,111.93,112.42,foreground
test.wav,112.42,112.43,background
test.wav,112.43,115.09,foreground
test.wav,115.09,115.11,background
test.wav,115.11,115.14,foreground
test.wav,115.14,115.15,background
test.wav,115.15,118.61,foreground
test.wav,118.61,118.63,background
test.wav,118.63,120.06,foreground
test.wav,120.06,120.08,background
test.wav,120.08,120.09,foreground
